RunNumber,NumIpu,CompileTime_s,RunTime_s
1,1,5.3598,0.28424
2,1,5.2303,0.28423
3,1,5.2256,0.28423
4,1,5.1396,0.28421
5,1,5.2241,0.28422
1,2,9.4127,0.1625
2,2,9.6785,0.16249
3,2,9.7073,0.16248
4,2,9.3444,0.16249
5,2,9.5819,0.16256
1,4,19.305,0.083145
2,4,19.327,0.083068
3,4,18.986,0.083299
4,4,19.268,0.083065
5,4,18.98,0.083075
1,8,38.861,0.052257
2,8,38.803,0.052233
3,8,38.907,0.052257
4,8,39.4,0.052266
5,8,39.35,0.052271
1,16,84.884,0.030125
2,16,82.574,0.030644
3,16,84.558,0.0303
4,16,84.287,0.030293
5,16,84.254,0.030295